SCHOOL CODE,COUNTY,PUB/ PRIV,DISTRICT CODE,SCHOOL,ENROLLMENT,PME,PBE,MMR1,MMR2 
6017438,LOS ANGELES,PUBLIC,64733,HAMLIN STREET ELEM.,69,0,1,65,56
6017446,LOS ANGELES,PUBLIC,64733,HAMMEL STREET ELEM.,131,0,0,129,131
6017453,LOS ANGELES,PUBLIC,64733,HANCOCK PARK ELEM.,132,0,0,131,128
6017461,LOS ANGELES,PUBLIC,64733,HARBOR CITY ELEM.,90,0,1,89,83
6017479,LOS ANGELES,PUBLIC,64733,HARDING STREET ELEM.,107,0,1,105,105
106955,LOS ANGELES,PUBLIC,64733,HARMONY ELEM,120,0,0,120,114
6017487,LOS ANGELES,PUBLIC,64733,HARRISON STREET ELEM.,104,0,0,104,104
6017495,LOS ANGELES,PUBLIC,64733,HART STREET ELEM.,167,0,1,165,165
109314,LOS ANGELES,PUBLIC,64733,"HARVARD ELEM, SCHOOL",85,0,0,85,85
6017503,LOS ANGELES,PUBLIC,64733,HASKELL ELEM.,76,0,1,70,61
6017511,LOS ANGELES,PUBLIC,64733,HAWAIIAN AVE. ELEM.,192,0,1,184,181
6017529,LOS ANGELES,PUBLIC,64733,HAYNES ELEM.,60,0,2,57,56
6017537,LOS ANGELES,PUBLIC,64733,HAZELTINE AVE. ELEM.,158,0,0,153,124
6017545,LOS ANGELES,PUBLIC,64733,HELIOTROPE AVE. ELEM.,145,0,0,117,81
6017552,LOS ANGELES,PUBLIC,64733,HERRICK AVE. ELEM.,99,0,0,99,98
6017586,LOS ANGELES,PUBLIC,64733,HILLCREST DRIVE ELEM.,144,0,0,108,96
6017594,LOS ANGELES,PUBLIC,64733,HILLSIDE ELEM.,80,0,1,79,74
6017602,LOS ANGELES,PUBLIC,64733,HOBART BLVD. ELEM.,133,0,1,132,132
109298,LOS ANGELES,PUBLIC,64733,HOLLYWOOD PRIMARY CEN,58,0,0,56,50
6017610,LOS ANGELES,PUBLIC,64733,HOLMES AVE. ELEM.,67,0,0,63,63
109249,LOS ANGELES,PUBLIC,64733,HOOPER PRIMARY CENTER,251,1,1,246,249
6017636,LOS ANGELES,PUBLIC,64733,HOOVER STREET ELEM.,243,1,0,242,193
109421,LOS ANGELES,PUBLIC,64733,HOPE STREET ELEM,117,0,0,104,93
6017644,LOS ANGELES,PUBLIC,64733,HUBBARD STREET ELEM.,158,0,1,155,153
6017651,LOS ANGELES,PUBLIC,64733,HUMPHREYS AVE. ELEM.,144,0,0,144,141
