SCHOOL CODE,COUNTY,PUBLIC/  PRIVATE,PUBLIC SCHOOL DISTRICT,CITY,SCHOOL NAME,ENROLLMENT,PME,PBEß,MMR1
6138218,LOS ANGELES,PRIVATE,,SANTA CLARITA,ALPHA-KIDZ INTERNATIONAL,11,0,0,11
7065329,LOS ANGELES,PRIVATE,,SANTA CLARITA,CANYON VISTA CHILDREN'S ACADEMY, ,,,
6144463,LOS ANGELES,PRIVATE,,SANTA CLARITA,CARE LEARNING ACADEMY, ,,,
6133334,LOS ANGELES,PRIVATE,,SANTA CLARITA,MONTICELLO PREPARATORY SCHOOL, ,,,
6962948,LOS ANGELES,PRIVATE,,SANTA CLARITA,OUR LADY OF PERPETUAL HELP,19,0,0,19
6935829,LOS ANGELES,PRIVATE,,SANTA CLARITA,SANTA CLARITA CHRISTIAN,18,0,4,14
6147854,LOS ANGELES,PRIVATE,,SANTA CLARITA,ST. ISAAC JOGUES, ,,,
7104003,LOS ANGELES,PRIVATE,,SANTA CLARITA,TRINITY CLASSICAL ACADEMY,30,0,3,26
6982938,LOS ANGELES,PRIVATE,,SANTA FE SPRINGS,SANTA FE SPRINGS CHRISTIAN SCHOOL,20,0,0,19
6964548,LOS ANGELES,PRIVATE,,SANTA FE SPRINGS,ST. PIUS X PARISH SCHOOL,13,0,0,13
6977441,LOS ANGELES,PRIVATE,,SANTA MONICA,CARLTHORP,42,3,0,37
6934657,LOS ANGELES,PRIVATE,,SANTA MONICA,CROSSROADS SCHOOL FOR ARTS AND SCIENCES,52,0,4,48
6130512,LOS ANGELES,PRIVATE,,SANTA MONICA,"EARLY START PRESCHOOLS, INC. DBA SMARTSTART DEVELOPMENTAL LEARNING CENTER",27,0,5,22
6911036,LOS ANGELES,PRIVATE,,SANTA MONICA,GARDEN OF ANGELS SCHOOL,21,0,1,17
7098536,LOS ANGELES,PRIVATE,,SANTA MONICA,NEW ROADS SCHOOL,16,0,5,11
6982599,LOS ANGELES,PRIVATE,,SANTA MONICA,PS1 PLURALISTIC SCHOOL,33,0,11,21
6963375,LOS ANGELES,PRIVATE,,SANTA MONICA,ST. ANNE ELEMENTARY,41,0,5,34
6964399,LOS ANGELES,PRIVATE,,SANTA MONICA,ST. MONICA CATHOLIC ELEMENTARY SCHOOL,25,0,2,22
6147862,LOS ANGELES,PRIVATE,,SANTA MONICA,STEP BY STEP, ,,,
7077308,LOS ANGELES,PRIVATE,,SHERMAN OAKS,ABC LITTLE SCHOOL‚ÄìSHERMAN OAKS,10,0,1,1
6934343,LOS ANGELES,PRIVATE,,SHERMAN OAKS,"BUCKLEY SCHOOL, THE",43,0,5,38
6929145,LOS ANGELES,PRIVATE,,SHERMAN OAKS,C. AND E. MERDINIAN ARMENIAN EVANGELICAL SCHOOL,23,0,2,17
6961049,LOS ANGELES,PRIVATE,,SHERMAN OAKS,EMEK HEBREW ACADEMYTEICHMAN FAMILY TORAH CENTER,51,0,4,47
6963821,LOS ANGELES,PRIVATE,,SHERMAN OAKS,ST. FRANCIS DE SALES,36,0,2,33
6903751,LOS ANGELES,PRIVATE,,SIERRA MADRE,BETHANY CHRISTIAN SCHOOL,21,1,0,20
6997548,LOS ANGELES,PRIVATE,,SIERRA MADRE,"GOODEN SCHOOL, THE",14,0,1,13
6964589,LOS ANGELES,PRIVATE,,SIERRA MADRE,ST. RITA CATHOLIC SCHOOL,35,0,0,30
6961056,LOS ANGELES,PRIVATE,,SOUTH EL MONTE,EPIPHANY CATHOLIC,14,1,0,13
6146765,LOS ANGELES,PRIVATE,,SOUTH GATE,PILGRIM BAPTIST SCHOOL, ,,,
6963912,LOS ANGELES,PRIVATE,,SOUTH GATE,ST. HELEN, ,,,
6962328,LOS ANGELES,PRIVATE,,SOUTH PASADENA,HOLY FAMILY,36,0,1,34
6934152,LOS ANGELES,PRIVATE,,SOUTH PASADENA,"INSTITUTE FOR THE REDESIGN OF LEARNING, ALMANSOR ACADEMY", ,,,
6982714,LOS ANGELES,PRIVATE,,SOUTH PASADENA,ST. JAMES PARISH DAY SCHOOL,11,0,0,11
7100514,LOS ANGELES,PRIVATE,,STUDIO CITY,"ABC LITTLE SCHOOL, STUDIO CITY",16,0,0,14
6138846,LOS ANGELES,PRIVATE,,STUDIO CITY,SUNNYSIDE PRESCHOOL, ,,,
6962864,LOS ANGELES,PRIVATE,,SUN VALLEY,OUR LADY OF THE HOLY ROSARY,37,0,0,36
7101447,LOS ANGELES,PRIVATE,,SUN VALLEY,SOL DEL VALLE CHRISTIAN SCHOOL, ,,,
6936165,LOS ANGELES,PRIVATE,,SUN VALLEY,VILLAGE CHRISTIAN SCHOOLS,43,0,2,39
6982615,LOS ANGELES,PRIVATE,,SYLMAR,POVERELLO OF ASSISI PRESCHOOL,78,0,3,73
6963680,LOS ANGELES,PRIVATE,,SYLMAR,ST. DIDACUS ELEMENTARY,24,0,0,23
6139125,LOS ANGELES,PRIVATE,,TARZANA,DISCOVERY SCHOOL, ,,,
6912851,LOS ANGELES,PRIVATE,,TARZANA,GAN ISRAEL HEBREW, ,,,
6201958,LOS ANGELES,PRIVATE,,TARZANA,LYCEE INTERNATIONAL DE LOS ANGELES‚ÄìWV,19,0,4,8
6936322,LOS ANGELES,PRIVATE,,TARZANA,WOODCREST SCHOOL,43,0,0,43
6960769,LOS ANGELES,PRIVATE,,TORRANCE,ASCENSION LUTHERAN SCHOOL,17,0,0,17
6206569,LOS ANGELES,PRIVATE,,TORRANCE,"CENTER FOR LEARNING UNLIMITED, THE", ,,,
6967921,LOS ANGELES,PRIVATE,,TORRANCE,FIRST LUTHERAN,58,0,0,58
6988406,LOS ANGELES,PRIVATE,,TORRANCE,HICKORY TREE SCHOOL,33,0,1,29
6962740,LOS ANGELES,PRIVATE,,TORRANCE,NATIVITY CATHOLIC ELEMENTARY,43,0,0,29
6993984,LOS ANGELES,PRIVATE,,TORRANCE,PLAYHOUSE,30,0,0,26
6983076,LOS ANGELES,PRIVATE,,TORRANCE,SOUTH BAY JUNIOR ACADEMY,18,0,0,18
6963581,LOS ANGELES,PRIVATE,,TORRANCE,ST. CATHERINE LABOURE ELEMENTARY,66,1,0,64
6963953,LOS ANGELES,PRIVATE,,TORRANCE,ST. JAMES ELEMENTARY,30,0,0,30
6962906,LOS ANGELES,PRIVATE,,TUJUNGA,OUR LADY OF LOURDES,14,0,0,14
7103252,LOS ANGELES,PRIVATE,,TUJUNGA,SMART ACADEMY CHRISTIAN, ,,,
7088750,LOS ANGELES,PRIVATE,,VALENCIA,LEGACY CHRISTIAN ACADEMY,50,0,3,47
6964274,LOS ANGELES,PRIVATE,,VALINDA,ST. MARTHA ELEMENTARY SCHOOL,60,0,0,38
6962492,LOS ANGELES,PRIVATE,,VALLEY GLEN,LAURENCE SCHOOL,56,0,13,43
6906895,LOS ANGELES,PRIVATE,,VALLEY VILLAGE,ADAT ARI EL DAY SCHOOL,16,0,2,13
7090020,LOS ANGELES,PRIVATE,,VALLEY VILLAGE,BETH HILLEL DAY,12,0,0,11
6979165,LOS ANGELES,PRIVATE,,VALLEY VILLAGE,"COUNTRY SCHOOL, THE",12,1,0,11
6146591,LOS ANGELES,PRIVATE,,VALLEY VILLAGE,YESHIVA KETANA OF LOS ANGELES,20,0,1,8
6984173,LOS ANGELES,PRIVATE,,VAN NUYS,ABC LITTLE SCHOOL,11,0,0,11
6993554,LOS ANGELES,PRIVATE,,VAN NUYS,CHILDREN'S COMMUNITY SCHOOL,17,0,5,12
6963540,LOS ANGELES,PRIVATE,,VAN NUYS,ST. BRIDGET OF SWEDEN ELEMENTARY, ,,,
6963722,LOS ANGELES,PRIVATE,,VAN NUYS,ST. ELISABETH, ,,,
6964886,LOS ANGELES,PRIVATE,,VAN NUYS,VALLEY SCHOOL‚ÄìINDIVIDUAL TRAIN,29,0,2,27
6964266,LOS ANGELES,PRIVATE,,VENICE,ST. MARK SCHOOL,29,0,2,27
7077316,LOS ANGELES,PRIVATE,,WALNUT,KID JUNCTION,16,0,0,16
6909220,LOS ANGELES,PRIVATE,,WALNUT,SOUTHLANDS CHRISTIAN SCHOOLS,17,0,0,17
6205025,LOS ANGELES,PRIVATE,,WALNUT,THE CROSS CHRISTIAN SCHOOL,14,0,0,14
6967871,LOS ANGELES,PRIVATE,,WEST COVINA,CHRIST LUTHERAN ELEMENTARY,26,0,1,25
6963623,LOS ANGELES,PRIVATE,,WEST COVINA,ST. CHRISTOPHER PARISH SCHOOL,26,0,0,26
6964951,LOS ANGELES,PRIVATE,,WEST COVINA,WEST COVINA CHRISTIAN ELEMENTARY,24,0,0,23
6142483,LOS ANGELES,PRIVATE,,WEST HILLS,HILL POINT MONTESSORI PREPARATORY SCHOOL,11,0,0,11
6983373,LOS ANGELES,PRIVATE,,WEST HILLS,KADIMA DAY SCHOOL,24,0,1,16
6963276,LOS ANGELES,PRIVATE,,WEST HILLS,SHEPHERD OF THE VALLEY LUTHERAN,10,0,2,8
7100092,LOS ANGELES,PRIVATE,,WEST HILLS,WEST HILLS MONTESSORI, ,,,
7084684,LOS ANGELES,PRIVATE,,WEST HILLS,WEST VALLEY CHRISTIAN SCHOOL,36,0,3,32
7042187,LOS ANGELES,PRIVATE,,WEST HOLLYWOOD,ABC LITTLE SCHOOL,10,0,1,9
6988190,LOS ANGELES,PRIVATE,,WEST HOLLYWOOD,THE CENTER FOR EARLY EDUCATION,60,0,2,57
7099021,LOS ANGELES,PRIVATE,,WEST HOLLYWOOD,WEST HOLLYWOOD CHILDREN'S ACADEMY, ,,,
6143606,LOS ANGELES,PRIVATE,,WEST HOLLYWOOD,WEST HOLLYWOOD COLLEGE PREPARATORY SCHOOL, ,,,
6922918,LOS ANGELES,PRIVATE,,WESTLAKE VILLAGE,SAINT JUDE THE APOSTLE,24,0,0,24
7077910,LOS ANGELES,PRIVATE,,WHITTIER,BROADOAKS SCHOOL OF WHITTIER COLLEGE,43,0,4,37
6977433,LOS ANGELES,PRIVATE,,WHITTIER,CARDEN WHITTIER PRIVATE SCHOOL,11,0,0,11
6986343,LOS ANGELES,PRIVATE,,WHITTIER,HADLEY, ,,,
7097801,LOS ANGELES,PRIVATE,,WHITTIER,LE LYCEE FRANCAIS DE DOWNEY,13,0,1,12
6907067,LOS ANGELES,PRIVATE,,WHITTIER,MULBERRY TREE PRESCHOOL,12,0,0,12
6982623,LOS ANGELES,PRIVATE,,WHITTIER,PRIMANTI MONTESSORI SCHOOL‚ÄìWHITTIER,11,0,0,6
6963565,LOS ANGELES,PRIVATE,,WHITTIER,ST. BRUNO PARISH SCHOOL, ,,,
6963904,LOS ANGELES,PRIVATE,,WHITTIER,ST. GREGORY THE GREAT,48,0,0,48
6964316,LOS ANGELES,PRIVATE,,WHITTIER,ST. MARY OF THE ASSUMPTION ELEMENTARY,34,0,0,34
6964845,LOS ANGELES,PRIVATE,,WHITTIER,TRINITY LUTHERAN SCHOOL, ,,,
7004963,LOS ANGELES,PRIVATE,,WHITTIER,WHITTIER CHRISTIAN SCHOOL - MAYBROOK,46,0,0,46
6139349,LOS ANGELES,PRIVATE,,WHITTIER,WHITTIER CHRISTIAN SCHOOLS - SATELLITE,12,0,4,8
6964977,LOS ANGELES,PRIVATE,,WHITTIER,WHITTIER CHRISTIAN SCHOOLS‚ÄìNEWLIN,21,0,3,18
6912869,LOS ANGELES,PRIVATE,,WILMINGTON,PACIFIC HARBOR CHRISTIAN,19,0,0,14
6964506,LOS ANGELES,PRIVATE,,WILMINGTON,STS. PETER AND ST. PAUL,24,0,0,11
6964126,LOS ANGELES,PRIVATE,,WINNETKA,ST. JOSEPH THE WORKER ELEMENTARY,19,0,0,19
6983449,LOS ANGELES,PRIVATE,,WOODLAND HILLS,PINECREST SCHOOLS - WOODLAND HILLS,31,0,1,28
6963524,LOS ANGELES,PRIVATE,,WOODLAND HILLS,ST. BERNARDINE OF SIENA ELEMENTARY,26,0,0,26
6964373,LOS ANGELES,PRIVATE,,WOODLAND HILLS,ST. MEL ELEMENTARY,58,0,4,53
6988513,LOS ANGELES,PRIVATE,,WOODLAND HILLS,WOODLAND HILLS PRIVATE SCHOOL,45,0,2,29
6023865,MADERA,PUBLIC,ALVIEW-DAIRYLAND UNION ELEMENTARY,CHOWCHILLA,ALVIEW ELEMENTARY,40,0,0,40
6024111,MADERA,PUBLIC,BASS LAKE JOINT UNION ELEMENTARY,AHWAHNEE,WASUMA ELEMENTARY,31,0,4,23
6024087,MADERA,PUBLIC,BASS LAKE JOINT UNION ELEMENTARY,OAKHURST,OAKHURST ELEMENTARY,59,0,3,55
129015,MADERA,PUBLIC,BASS LAKE JOINT UNION ELEMENTARY,WAWONA,YOSEMITE-WAWONA ELEMENTARY CHARTER, ,,,
6024079,MADERA,PUBLIC,CHAWANAKEE UNIFIED,NORTH FORK,NORTH FORK ELEMENTARY,34,0,8,20
6024103,MADERA,PUBLIC,CHAWANAKEE UNIFIED,O'NEALS,SPRING VALLEY ELEMENTARY,20,0,1,16
6023881,MADERA,PUBLIC,CHOWCHILLA ELEMENTARY,CHOWCHILLA,MERLE L. FULLER ELEMENTARY, ,,,
6023899,MADERA,PUBLIC,CHOWCHILLA ELEMENTARY,CHOWCHILLA,STEPHENS ELEMENTARY,245,0,1,244
123315,MADERA,PUBLIC,GOLDEN VALLEY UNIFIED,MADERA,CHILDREN'S HOSPITAL OF CENTRAL CALIFORNIA, ,,,
6103824,MADERA,PUBLIC,GOLDEN VALLEY UNIFIED,MADERA,SIERRA VIEW ELEMENTARY,70,5,8,57
6100820,MADERA,PUBLIC,GOLDEN VALLEY UNIFIED,MADERA,WEBSTER ELEMENTARY,52,0,1,50
6077200,MADERA,PUBLIC,MADERA COUNTY OFFICE OF EDUCATION,MADERA,GOULD EDUCATIONAL CENTER,16,0,1,15
6107122,MADERA,PUBLIC,MADERA UNIFIED,MADERA,ALPHA ELEMENTARY,121,0,0,121
6105951,MADERA,PUBLIC,MADERA UNIFIED,MADERA,BERENDA ELEMENTARY, ,,,
110957,MADERA,PUBLIC,MADERA UNIFIED,MADERA,CESAR CHAVEZ ELEMENTARY, ,,,
6023949,MADERA,PUBLIC,MADERA UNIFIED,MADERA,DIXIELAND ELEMENTARY,47,0,0,43
129544,MADERA,PUBLIC,MADERA UNIFIED,MADERA,EASTIN ARCOLA,39,0,0,39
107938,MADERA,PUBLIC,MADERA UNIFIED,MADERA,EZEQUIEL TAFOYA ALVARADO ACADEMY,51,0,0,50
2035640,MADERA,PUBLIC,MADERA UNIFIED,MADERA,FURMAN -DUANE E.- HIGH -INDEPENDENT STUDY PROGRAM-, ,,,
6023964,MADERA,PUBLIC,MADERA UNIFIED,MADERA,GEORGE WASHINGTON ELEMENTARY,132,0,0,127
6023972,MADERA,PUBLIC,MADERA UNIFIED,MADERA,HOWARD ELEMENTARY,57,0,0,53
6023980,MADERA,PUBLIC,MADERA UNIFIED,MADERA,JAMES MADISON ELEMENTARY,107,0,0,106
6023998,MADERA,PUBLIC,MADERA UNIFIED,MADERA,JAMES MONROE ELEMENTARY,120,0,0,119
6024004,MADERA,PUBLIC,MADERA UNIFIED,MADERA,JOHN ADAMS ELEMENTARY,122,0,0,120
113050,MADERA,PUBLIC,MADERA UNIFIED,MADERA,JOHN J. PERSHING ELEMENTARY,146,0,0,140
6024012,MADERA,PUBLIC,MADERA UNIFIED,MADERA,LA VINA ELEMENTARY,32,0,0,29
6112312,MADERA,PUBLIC,MADERA UNIFIED,MADERA,LINCOLN ELEMENTARY,122,0,0,121
6024020,MADERA,PUBLIC,MADERA UNIFIED,MADERA,MILLVIEW ELEMENTARY,128,0,0,111
109702,MADERA,PUBLIC,MADERA UNIFIED,MADERA,NISHIMOTO ELEMENTARY, ,,,
116970,MADERA,PUBLIC,MADERA UNIFIED,MADERA,PARKWOOD ELEMENTARY,119,0,0,119
100016,MADERA,PUBLIC,MADERA UNIFIED,MADERA,SHERMAN THOMAS CHARTER,21,0,1,20
6024046,MADERA,PUBLIC,MADERA UNIFIED,MADERA,SIERRA VISTA ELEMENTARY,135,0,0,135
6120406,MADERA,PUBLIC,RAYMOND-KNOWLES UNION ELEMENTARY,RAYMOND,RAYMOND-KNOWLES COMMUNITY DAY, ,,,
6023915,MADERA,PUBLIC,YOSEMITE UNIFIED,COARSEGOLD,COARSEGOLD ELEMENTARY,55,0,10,45
6110019,MADERA,PUBLIC,YOSEMITE UNIFIED,COARSEGOLD,RIVERGOLD ELEMENTARY,51,0,2,46
115550,MADERA,PUBLIC,YOSEMITE UNIFIED,COARSEGOLD,YOSEMITE FALLS EDUCATION CENTER, ,,,
6110076,MADERA,PUBLIC,YOSEMITE UNIFIED,OAKHURST,MOUNTAIN HOME CHARTER -ALTERNATIVE-,16,0,3,9
6974224,MADERA,PRIVATE,,CHOWCHILLA,CHOWCHILLA ADVENTIST ELEMENTARY, ,,,
7103336,MADERA,PRIVATE,,MADERA,CROSSROADS CHRISTIAN,11,0,1,10
6970701,MADERA,PRIVATE,,MADERA,ST. JOACHIM ELEMENTARY,30,0,0,28
6974240,MADERA,PRIVATE,,OAKHURST,OAKHURST ADVENTIST CHRISTIAN SCHOOL, ,,,
6024137,MARIN,PUBLIC,BOLINAS-STINSON UNION,BOLINAS,BOLINAS-STINSON ELEMENTARY,11,0,4,4
6024160,MARIN,PUBLIC,DIXIE ELEMENTARY,SAN RAFAEL,DIXIE ELEMENTARY,86,0,8,78
6024194,MARIN,PUBLIC,DIXIE ELEMENTARY,SAN RAFAEL,MARY E. SILVEIRA ELEMENTARY,82,0,6,76
6024244,MARIN,PUBLIC,DIXIE ELEMENTARY,SAN RAFAEL,VALLECITO ELEMENTARY,92,0,3,89
6024319,MARIN,PUBLIC,KENTFIELD ELEMENTARY,KENTFIELD,ANTHONY G. BACICH ELEMENTARY,157,0,13,141
6024335,MARIN,PUBLIC,LAGUNITAS ELEMENTARY,SAN GERONIMO,LAGUNITAS ELEMENTARY,14,0,1,13
6024343,MARIN,PUBLIC,LAGUNITAS ELEMENTARY,SAN GERONIMO,SAN GERONIMO VALLEY ELEMENTARY,19,0,11,5
129148,MARIN,PUBLIC,LARKSPUR-CORTE MADERA,CORTE MADERA,COVE,95,0,2,92
6024376,MARIN,PUBLIC,LARKSPUR-CORTE MADERA,CORTE MADERA,NEIL CUMMINS ELEMENTARY,87,0,6,79
6069504,MARIN,PUBLIC,MARIN COUNTY OFFICE OF EDUCATION,SAN RAFAEL,MARIN COUNTY SPECIAL EDUCATION,14,0,1,11
6024418,MARIN,PUBLIC,MILL VALLEY ELEMENTARY,MILL VALLEY,EDNA MAGUIRE ELEMENTARY,105,0,13,91
6024442,MARIN,PUBLIC,MILL VALLEY ELEMENTARY,MILL VALLEY,OLD MILL ELEMENTARY,48,0,4,42
6024459,MARIN,PUBLIC,MILL VALLEY ELEMENTARY,MILL VALLEY,PARK ELEMENTARY,58,0,1,55
6024467,MARIN,PUBLIC,MILL VALLEY ELEMENTARY,MILL VALLEY,STRAWBERRY POINT ELEMENTARY,63,0,5,58
6024475,MARIN,PUBLIC,MILL VALLEY ELEMENTARY,MILL VALLEY,TAMALPAIS VALLEY ELEMENTARY,84,0,5,78
6024491,MARIN,PUBLIC,NOVATO UNIFIED,NOVATO,HAMILTON MEADOW PARK,64,0,2,61
6024509,MARIN,PUBLIC,NOVATO UNIFIED,NOVATO,LOMA VERDE ELEMENTARY,82,0,2,80
6024517,MARIN,PUBLIC,NOVATO UNIFIED,NOVATO,LU SUTTON ELEMENTARY,71,2,2,67
6024525,MARIN,PUBLIC,NOVATO UNIFIED,NOVATO,LYNWOOD ELEMENTARY,55,0,0,55
6113229,MARIN,PUBLIC,NOVATO UNIFIED,NOVATO,NOVATO CHARTER,28,0,4,24
6024558,MARIN,PUBLIC,NOVATO UNIFIED,NOVATO,OLIVE ELEMENTARY,60,0,0,60
6024574,MARIN,PUBLIC,NOVATO UNIFIED,NOVATO,PLEASANT VALLEY ELEMENTARY,96,0,3,93
6024582,MARIN,PUBLIC,NOVATO UNIFIED,NOVATO,RANCHO ELEMENTARY,77,0,0,72
6024590,MARIN,PUBLIC,NOVATO UNIFIED,NOVATO,SAN RAMON ELEMENTARY,85,0,1,82
6024657,MARIN,PUBLIC,REED UNION ELEMENTARY,TIBURON,REED ELEMENTARY,147,0,11,127
6024673,MARIN,PUBLIC,ROSS ELEMENTARY,ROSS,ROSS ELEMENTARY,38,0,3,35
6024277,MARIN,PUBLIC,ROSS VALLEY ELEMENTARY,FAIRFAX,MANOR ELEMENTARY,64,0,17,46
6024681,MARIN,PUBLIC,ROSS VALLEY ELEMENTARY,SAN ANSELMO,BROOKSIDE ELEMENTARY,56,0,8,47
124578,MARIN,PUBLIC,ROSS VALLEY ELEMENTARY,SAN ANSELMO,HIDDEN VALLEY ELEMENTARY,58,0,4,54
6024731,MARIN,PUBLIC,ROSS VALLEY ELEMENTARY,SAN ANSELMO,WADE THOMAS ELEMENTARY,67,0,7,60
6024756,MARIN,PUBLIC,SAN RAFAEL CITY ELEMENTARY,SAN RAFAEL,BAHIA VISTA ELEMENTARY,94,0,0,85
6024764,MARIN,PUBLIC,SAN RAFAEL CITY ELEMENTARY,SAN RAFAEL,COLEMAN ELEMENTARY,73,1,0,58
