SCHOOL CODE,COUNTY,PUBLIC/  PRIVATE,PUBLIC SCHOOL DISTRICT,CITY,SCHOOL NAME,ENROLLMENT,PME,PBEß,MMR1
6024780,MARIN,PUBLIC,SAN RAFAEL CITY ELEMENTARY,SAN RAFAEL,GLENWOOD ELEMENTARY,84,0,1,66
6024814,MARIN,PUBLIC,SAN RAFAEL CITY ELEMENTARY,SAN RAFAEL,LAUREL DELL ELEMENTARY,22,0,0,18
6024830,MARIN,PUBLIC,SAN RAFAEL CITY ELEMENTARY,SAN RAFAEL,SAN PEDRO ELEMENTARY,119,0,0,110
121517,MARIN,PUBLIC,SAN RAFAEL CITY ELEMENTARY,SAN RAFAEL,SHORT ELEMENTARY,39,0,0,32
6024863,MARIN,PUBLIC,SAN RAFAEL CITY ELEMENTARY,SAN RAFAEL,SUN VALLEY ELEMENTARY,89,0,0,72
6024772,MARIN,PUBLIC,SAN RAFAEL CITY ELEMENTARY,SAN RAFAEL,VENETIA VALLEY ELEMENTARY,107,0,1,84
6024889,MARIN,PUBLIC,SAUSALITO MARIN CITY,SAUSALITO,BAYSIDE MARTIN LUTHER KING JR. ACADEMY,31,0,0,26
6118491,MARIN,PUBLIC,SAUSALITO MARIN CITY,SAUSALITO,WILLOW CREEK ACADEMY,40,0,3,34
6024947,MARIN,PUBLIC,SHORELINE UNIFIED,INVERNESS,INVERNESS ELEMENTARY,21,0,1,16
6024921,MARIN,PUBLIC,SHORELINE UNIFIED,TOMALES,TOMALES ELEMENTARY,17,0,0,16
6974349,MARIN,PRIVATE,,CORTE MADERA,MARIN COUNTRY DAY SCHOOL,56,0,3,50
6974422,MARIN,PRIVATE,,FAIRFAX,ST. RITA SCHOOL,10,0,0,10
6901573,MARIN,PRIVATE,,LARKSPUR,MARIN PRIMARY AND MIDDLE SCHOOL,36,0,5,27
6970727,MARIN,PRIVATE,,LARKSPUR,ST. PATRICK SCHOOL,26,1,0,25
7083660,MARIN,PRIVATE,,MILL VALLEY,GREENWOOD SCHOOL,18,0,11,7
6905467,MARIN,PRIVATE,,MILL VALLEY,MARIN HORIZON SCHOOL,24,0,2,22
6974430,MARIN,PRIVATE,,MILL VALLEY,MOUNT TAMALPAIS SCHOOL,26,0,2,23
6911150,MARIN,PRIVATE,,NOVATO,GOOD SHEPHERD LUTHERAN,24,0,1,23
6907307,MARIN,PRIVATE,,NOVATO,MARIN CHRISTIAN ACADEMY,12,0,0,11
6970719,MARIN,PRIVATE,,NOVATO,OUR LADY OF LORETTO,17,0,0,17
6974448,MARIN,PRIVATE,,SAN ANSELMO,SAN DOMENICO PRIMARY MIDDLE,23,0,5,17
6974398,MARIN,PRIVATE,,SAN ANSELMO,ST. ANSELM SCHOOL,19,0,0,19
6914766,MARIN,PRIVATE,,SAN RAFAEL,BRANDEIS HILLEL DAY SCHOOL,12,1,1,10
6988448,MARIN,PRIVATE,,SAN RAFAEL,MARIN WALDORF SCHOOL,23,0,8,10
6911184,MARIN,PRIVATE,,SAN RAFAEL,SAINT MARKS SCHOOL,39,0,7,32
6974414,MARIN,PRIVATE,,SAN RAFAEL,SAINT RAPHAEL ELEMENTARY,19,0,0,19
6974406,MARIN,PRIVATE,,SAN RAFAEL,ST. ISABELLA,16,0,0,16
7037427,MARIN,PRIVATE,,SAUSALITO,LYCEE FRANCAIS DE SAN FRANCISCO,29,1,2,23
6138143,MARIN,PRIVATE,,SAUSALITO,"NEW VILLAGE SCHOOL, THE",20,0,10,8
6978084,MARIN,PRIVATE,,TIBURON,SAINT HILARY ELEMENTARY,42,0,1,41
125823,MARIPOSA,PUBLIC,MARIPOSA COUNTY UNIFIED,CATHEYS VALLEY,SIERRA FOOTHILL CHARTER,24,0,8,13
6025001,MARIPOSA,PUBLIC,MARIPOSA COUNTY UNIFIED,EL PORTAL,YOSEMITE NATIONAL PARK EL PORTAL,17,0,2,15
