SCHOOL CODE,COUNTY,PUB/ PRIV,DISTRICT CODE,SCHOOL,ENROLLMENT,PME,PBE,MMR1 ,MMR2
6089338,ALAMEDA,PUBLIC,61200,RANCHO LAS POSITAS EL,77,0,1,76,76
6001259,ALAMEDA,PUBLIC,61200,SMITH (EMMA C.) ELEM.,106,0,0,106,104
6097661,ALAMEDA,PUBLIC,61200,SUNSET ELEM.,96,1,1,93,93
6001499,ALAMEDA,PUBLIC,61234,BUNKER (JAMES L.) ELE,81,0,1,80,80
6001481,ALAMEDA,PUBLIC,61234,GRAHAM (JAMES A.) ELE,75,0,0,75,72
6001507,ALAMEDA,PUBLIC,61234,KENNEDY (JOHN F.) ELE,49,0,0,49,49
6001523,ALAMEDA,PUBLIC,61234,LINCOLN ELEM.,53,0,1,52,51
6001531,ALAMEDA,PUBLIC,61234,MILANI (LOUIS) ELEM.,62,0,0,62,61
6001457,ALAMEDA,PUBLIC,61234,MUSICK (E. L.) ELEM.,53,0,0,53,51
6001440,ALAMEDA,PUBLIC,61234,SCHILLING (AUGUST) EL,84,1,1,82,82
6001473,ALAMEDA,PUBLIC,61234,SNOW (H. A.) ELEM.,58,0,1,57,57
6001630,ALAMEDA,PUBLIC,61259,ALLENDALE ELEM.,79,0,1,78,78
6118608,ALAMEDA,PUBLIC,61259,ASCEND,44,0,0,44,44
6001655,ALAMEDA,PUBLIC,61259,BELLA VISTA ELEM.,82,0,2,80,80
109819,ALAMEDA,PUBLIC,61259,BERKELEY MAYNARD ACAD,60,0,1,59,57
6001663,ALAMEDA,PUBLIC,61259,BROOKFIELD VILLAGE EL,69,0,0,66,67
6001689,ALAMEDA,PUBLIC,61259,BURCKHALTER ELEM.,45,0,0,45,43
6001648,ALAMEDA,PUBLIC,61259,CHABOT ELEM.,85,3,2,80,79
6001739,ALAMEDA,PUBLIC,61259,CLEVELAND ELEM.,65,0,4,61,61
115204,ALAMEDA,PUBLIC,61259,COMMUNITY UNITED ELEM,63,0,0,63,60
114454,ALAMEDA,PUBLIC,61259,CONSERVATORY OF VOCAL,20,0,0,20,14
6001754,ALAMEDA,PUBLIC,61259,CROCKER HIGHLANDS ELE,76,0,0,76,75
130518,ALAMEDA,PUBLIC,61259,EAST BAY CONSERVATION,40,0,4,36,36
116137,ALAMEDA,PUBLIC,61259,EAST OAKLAND LEADERSH,20,0,0,20,20
115600,ALAMEDA,PUBLIC,61259,EAST OAKLAND PRIDE EL,93,0,0,93,93
6001788,ALAMEDA,PUBLIC,61259,EDUCATION FOR CHANGE,100,0,0,100,100
6001812,ALAMEDA,PUBLIC,61259,EMERSON ELEM.,62,0,0,62,61
102988,ALAMEDA,PUBLIC,61259,ENCOMPASS ACADEMY,48,0,0,48,45
6001820,ALAMEDA,PUBLIC,61259,FRANKLIN ELEM.,121,0,0,118,120
112813,ALAMEDA,PUBLIC,61259,FRED T. KOREMATSU DIS,66,0,0,66,66
6001838,ALAMEDA,PUBLIC,61259,FRUITVALE ELEM.,66,0,0,62,63
115576,ALAMEDA,PUBLIC,61259,FUTURES ELEMENTARY,59,0,0,56,55
6001846,ALAMEDA,PUBLIC,61259,GARFIELD ELEM.,101,0,0,99,93
6001853,ALAMEDA,PUBLIC,61259,GLENVIEW ELEM.,88,0,0,87,83
115584,ALAMEDA,PUBLIC,61259,GLOBAL FAMILY,58,0,0,58,57
6001879,ALAMEDA,PUBLIC,61259,GRASS VALLEY ELEM.,45,0,0,44,43
115618,ALAMEDA,PUBLIC,61259,GREENLEAF ELEMENTARY,67,1,0,66,64
6001911,ALAMEDA,PUBLIC,61259,HILLCREST ELEM.,40,0,1,38,39
6057046,ALAMEDA,PUBLIC,61259,HOOVER ELEM.,50,0,0,49,46
6001713,ALAMEDA,PUBLIC,61259,HOWARD (CHARLES P.) E,41,0,0,41,41
6118616,ALAMEDA,PUBLIC,61259,INTERNATIONAL COMMUNI,44,0,0,44,44
6001895,ALAMEDA,PUBLIC,61259,"KAISER (HENRY J., JR.",50,0,0,50,46
6072235,ALAMEDA,PUBLIC,61259,"KING (MARTIN LUTHER,",47,0,0,44,42
6096523,ALAMEDA,PUBLIC,61259,LA ESCUELITA ELEM.,43,0,0,43,42
6001978,ALAMEDA,PUBLIC,61259,LAFAYETTE ELEM.,38,0,0,37,35
6001986,ALAMEDA,PUBLIC,61259,LAKEVIEW ELEM.,58,0,0,52,50
6001994,ALAMEDA,PUBLIC,61259,LAUREL ELEM.,84,0,0,84,82
6002000,ALAMEDA,PUBLIC,61259,LAZEAR ELEM.,53,0,1,52,52
115592,ALAMEDA,PUBLIC,61259,LEARNING WITHOUT LIMI,53,0,0,53,50
130633,ALAMEDA,PUBLIC,61259,LIGHTHOUSE COMMUNITY,44,0,0,44,44
6002018,ALAMEDA,PUBLIC,61259,LINCOLN ELEM.,107,0,0,107,105
6001929,ALAMEDA,PUBLIC,61259,MANN (HORACE) ELEM.,56,0,0,56,56
6002042,ALAMEDA,PUBLIC,61259,MANZANITA COMMUNITY E,44,0,0,39,41
110247,ALAMEDA,PUBLIC,61259,MANZANITA SEED ELEMEN,35,0,0,35,35
6002059,ALAMEDA,PUBLIC,61259,MARKHAM ELEM.,67,0,0,67,67
6001952,ALAMEDA,PUBLIC,61259,MARSHALL (JOHN) ELEM.,34,0,0,34,32
6002067,ALAMEDA,PUBLIC,61259,MAXWELL PARK ELEM.,41,0,0,41,40
6002075,ALAMEDA,PUBLIC,61259,MELROSE ELEM.,70,0,0,69,65
6118640,ALAMEDA,PUBLIC,61259,MELROSE LEADERSHIP AC,33,0,1,32,32
6001945,ALAMEDA,PUBLIC,61259,MILLER (JOAQUIN) ELEM,65,0,0,58,61
108803,ALAMEDA,PUBLIC,61259,MILLSMONT ACADEMY,42,0,0,31,29
6117568,ALAMEDA,PUBLIC,61259,MONARCH ACADEMY,60,0,0,60,60
6002083,ALAMEDA,PUBLIC,61259,MONTCLAIR ELEM.,91,0,0,89,88
6001697,ALAMEDA,PUBLIC,61259,MUNCK (CARL B.) ELEM.,63,0,0,61,59
6001903,ALAMEDA,PUBLIC,61259,NEW HIGHLAND ELEM.,63,0,0,58,59
6117972,ALAMEDA,PUBLIC,61259,NORTH OAKLAND COMM. C,20,0,0,20,20
6002091,ALAMEDA,PUBLIC,61259,PARKER ELEM.,44,0,1,43,40
6002109,ALAMEDA,PUBLIC,61259,PERALTA YEAR AROUND,60,0,2,57,58
6002117,ALAMEDA,PUBLIC,61259,PIEDMONT AVE. ELEM.,65,0,1,55,62
6002125,ALAMEDA,PUBLIC,61259,PRESCOTT ELEM.,34,0,1,31,31
110239,ALAMEDA,PUBLIC,61259,REACH ACADEMY,43,0,0,40,39
6002141,ALAMEDA,PUBLIC,61259,REDWOOD HEIGHTS ELEM.,57,2,4,51,51
6117394,ALAMEDA,PUBLIC,61259,REEMS (ERNESTINE C.),29,0,0,29,29
110262,ALAMEDA,PUBLIC,61259,RISE COMMUNITY,66,0,0,62,57
110254,ALAMEDA,PUBLIC,61259,SANKOFA ACADEMY,12,0,0,11,11
6002166,ALAMEDA,PUBLIC,61259,SANTA FE ELEM.,51,0,0,51,45
6002174,ALAMEDA,PUBLIC,61259,SEQUOIA ELEM.,65,0,6,59,58
6002182,ALAMEDA,PUBLIC,61259,SOBRANTE PARK ELEM.,35,0,0,35,34
6002190,ALAMEDA,PUBLIC,61259,STONEHURST ELEM.,63,0,0,63,62
100792,ALAMEDA,PUBLIC,61259,THINK COLLEGE NOW,44,0,0,44,44
6002216,ALAMEDA,PUBLIC,61259,THORNHILL ELEM.,69,0,0,69,62
6002208,ALAMEDA,PUBLIC,61259,TILDEN (DOUGLAS) ELEM,47,0,0,45,46
6002273,ALAMEDA,PUBLIC,61259,WOODLAND ELEM. (ACORN,45,0,0,45,41
109983,ALAMEDA,PUBLIC,61259,WORLD ACADEMY,104,0,0,104,98
6002281,ALAMEDA,PUBLIC,61275,BEACH (E.W.) ELEM.,56,0,0,56,53
6002299,ALAMEDA,PUBLIC,61275,HAVENS (F.C.) ELEM.,79,0,3,76,72
6002307,ALAMEDA,PUBLIC,61275,WILDWOOD AVE. ELEM.,46,0,1,45,40
6002372,ALAMEDA,PUBLIC,61291,GARFIELD ELEM.,63,0,0,63,63
6002398,ALAMEDA,PUBLIC,61291,JEFFERSON ELEM.,95,0,0,95,95
6002414,ALAMEDA,PUBLIC,61291,MADISON ELEM.,57,0,0,57,56
6002422,ALAMEDA,PUBLIC,61291,MC KINLEY ELEM.,79,0,0,79,78
6002430,ALAMEDA,PUBLIC,61291,MONROE ELEM.,61,0,0,61,61
6002448,ALAMEDA,PUBLIC,61291,ROOSEVELT ELEM.,96,0,1,95,95
6002455,ALAMEDA,PUBLIC,61291,WASHINGTON ELEM.,71,0,0,71,71
6002463,ALAMEDA,PUBLIC,61291,WILSON ELEM.,124,0,0,124,124
6002505,ALAMEDA,PUBLIC,61309,BAY ELEM.,92,0,0,91,91
6002521,ALAMEDA,PUBLIC,61309,COLONIAL ACRES ELEM.,124,0,0,124,124
6002539,ALAMEDA,PUBLIC,61309,CORVALLIS ELEM.,93,0,0,92,87
6002547,ALAMEDA,PUBLIC,61309,DAYTON ELEM.,72,0,0,70,70
6002554,ALAMEDA,PUBLIC,61309,DEL REY ELEM.,77,0,0,76,75
6002604,ALAMEDA,PUBLIC,61309,GRANT ELEM.,50,0,0,50,50
6002612,ALAMEDA,PUBLIC,61309,HESPERIAN ELEM.,110,0,1,108,107
6002620,ALAMEDA,PUBLIC,61309,HILLSIDE ELEM.,73,0,0,72,71
6002653,ALAMEDA,PUBLIC,61309,LORENZO MANOR ELEM.,100,0,0,97,95
6118038,ALAMEDA,PUBLIC,75093,DOUGHERTY ELEM.,126,0,0,125,119
6001374,ALAMEDA,PUBLIC,75093,DUBLIN ELEM.,88,2,4,81,80
108571,ALAMEDA,PUBLIC,75093,FALLON (ELEANOR MURRA,65,0,0,65,59
6001390,ALAMEDA,PUBLIC,75093,FREDERIKSEN ELEM.,86,0,0,85,86
114579,ALAMEDA,PUBLIC,75093,JOHN GREEN ELEMENTARY,133,0,0,132,120
6001424,ALAMEDA,PUBLIC,75093,MURRAY ELEM.,58,0,1,57,57
6002315,ALAMEDA,PUBLIC,75101,ALISAL ELEM.,88,0,0,88,88
6001366,ALAMEDA,PUBLIC,75101,DONLON ELEM.,109,1,4,104,104
6002323,ALAMEDA,PUBLIC,75101,FAIRLANDS ELEM.,124,0,0,124,124
6114318,ALAMEDA,PUBLIC,75101,HENRY P. MOHR ELEM.,100,0,0,100,100
6001416,ALAMEDA,PUBLIC,75101,LYDIKSEN ELEM.,74,0,1,72,73
6117600,ALAMEDA,PUBLIC,75101,PHOEBE APPERSON HEARS,95,0,3,92,92
6002349,ALAMEDA,PUBLIC,75101,VALLEY VIEW ELEM.,123,10,0,113,111
6089361,ALAMEDA,PUBLIC,75101,VINTAGE HILLS ELEM.,74,0,0,74,74
