SCHOOL CODE,COUNTY,PUB/ PRIV,DISTRICT CODE,SCHOOL,ENROLLMENT,PME,PBE§,MMR1 ,2 MMR‡ 
6001499,ALAMEDA,PUBLIC,61234,BUNKER (JAMES L.) ELE,87,0,0,87,87
6001481,ALAMEDA,PUBLIC,61234,GRAHAM (JAMES A.) ELE,71,0,1,69,68
6001507,ALAMEDA,PUBLIC,61234,KENNEDY (JOHN F.) ELE,37,0,0,37,37
6001523,ALAMEDA,PUBLIC,61234,LINCOLN ELEM.,57,0,0,57,56
6001531,ALAMEDA,PUBLIC,61234,MILANI (LOUIS) ELEM.,63,0,0,63,63
6001457,ALAMEDA,PUBLIC,61234,MUSICK (E. L.) ELEM.,43,0,0,43,43
6001473,ALAMEDA,PUBLIC,61234,SNOW (H. A.) ELEM.,43,0,0,43,41
6001630,ALAMEDA,PUBLIC,61259,ALLENDALE ELEM.,71,0,0,67,70
6118608,ALAMEDA,PUBLIC,61259,ASCEND,48,0,0,46,47
6001655,ALAMEDA,PUBLIC,61259,BELLA VISTA ELEM.,101,1,1,95,96
109819,ALAMEDA,PUBLIC,61259,BERKLEY MAYNARD ACADE,66,0,0,64,64
6002075,ALAMEDA,PUBLIC,61259,BRIDGES ACADEMY @ MEL,68,0,0,63,66
6001663,ALAMEDA,PUBLIC,61259,BROOKFIELD VILLAGE EL,71,0,0,68,68
6001689,ALAMEDA,PUBLIC,61259,BURCKHALTER ELEM.,27,0,0,27,27
6001648,ALAMEDA,PUBLIC,61259,CHABOT ELEM.,95,1,1,93,91
130518,ALAMEDA,PUBLIC,61259,CIVICORPS ELEMENTARY,34,0,4,29,26
6001739,ALAMEDA,PUBLIC,61259,CLEVELAND ELEM.,58,0,1,57,57
115204,ALAMEDA,PUBLIC,61259,COMMUNITY UNITED ELEM,63,0,0,63,62
114454,ALAMEDA,PUBLIC,61259,CONSERVATORY OF VOCAL,23,0,0,20,14
6001754,ALAMEDA,PUBLIC,61259,CROCKER HIGHLANDS ELE,68,0,0,67,65
115600,ALAMEDA,PUBLIC,61259,EAST OAKLAND PRIDE EL,105,0,0,105,105
6001812,ALAMEDA,PUBLIC,61259,EMERSON ELEM.,50,0,1,48,40
102988,ALAMEDA,PUBLIC,61259,ENCOMPASS ACADEMY,51,0,0,44,51
6001820,ALAMEDA,PUBLIC,61259,FRANKLIN ELEM.,129,1,1,125,123
112813,ALAMEDA,PUBLIC,61259,FRED T. KOREMATSU DIS,66,0,0,63,66
6001838,ALAMEDA,PUBLIC,61259,FRUITVALE ELEM.,81,0,0,80,73
115576,ALAMEDA,PUBLIC,61259,FUTURES ELEMENTARY,53,0,0,51,53
6001846,ALAMEDA,PUBLIC,61259,GARFIELD ELEM.,80,0,0,79,75
6001853,ALAMEDA,PUBLIC,61259,GLENVIEW ELEM.,72,0,2,68,59
115584,ALAMEDA,PUBLIC,61259,GLOBAL FAMILY,78,0,0,77,78
6001879,ALAMEDA,PUBLIC,61259,GRASS VALLEY ELEM.,48,0,1,46,43
115618,ALAMEDA,PUBLIC,61259,GREENLEAF ELEMENTARY,68,0,0,68,68
6001911,ALAMEDA,PUBLIC,61259,HILLCREST ELEM.,44,0,1,43,42
6057046,ALAMEDA,PUBLIC,61259,HOOVER ELEM.,68,0,0,65,64
6001713,ALAMEDA,PUBLIC,61259,HOWARD (CHARLES P.) E,40,0,0,39,37
6118616,ALAMEDA,PUBLIC,61259,INTERNATIONAL COMMUNI,70,0,0,69,67
6001895,ALAMEDA,PUBLIC,61259,"KAISER (HENRY J., JR.",48,1,1,44,43
6072235,ALAMEDA,PUBLIC,61259,"KING (MARTIN LUTHER,",46,0,0,42,43
6096523,ALAMEDA,PUBLIC,61259,LA ESCUELITA ELEM.,42,0,0,41,40
6001978,ALAMEDA,PUBLIC,61259,LAFAYETTE ELEM.,43,0,1,41,42
6001986,ALAMEDA,PUBLIC,61259,LAKEVIEW ELEM.,61,0,0,59,56
6001994,ALAMEDA,PUBLIC,61259,LAUREL ELEM.,95,1,0,94,93
6002000,ALAMEDA,PUBLIC,61259,LAZEAR ELEM.,50,0,0,50,50
115592,ALAMEDA,PUBLIC,61259,LEARNING WITHOUT LIMI,61,0,0,60,57
6002018,ALAMEDA,PUBLIC,61259,LINCOLN ELEM.,119,0,0,116,118
6001929,ALAMEDA,PUBLIC,61259,MANN (HORACE) ELEM.,52,0,0,51,51
6002042,ALAMEDA,PUBLIC,61259,MANZANITA COMMUNITY E,51,0,0,50,46
110247,ALAMEDA,PUBLIC,61259,MANZANITA SEED ELEMEN,45,0,1,42,34
6002059,ALAMEDA,PUBLIC,61259,MARKHAM ELEM.,73,0,0,69,72
6001952,ALAMEDA,PUBLIC,61259,MARSHALL (JOHN) ELEM.,27,0,0,27,26
6002067,ALAMEDA,PUBLIC,61259,MAXWELL PARK ELEM.,40,0,0,39,35
6118640,ALAMEDA,PUBLIC,61259,MELROSE LEADERSHIP AC,41,0,2,39,38
6001945,ALAMEDA,PUBLIC,61259,MILLER (JOAQUIN) ELEM,72,0,3,69,69
108803,ALAMEDA,PUBLIC,61259,MILLSMONT ACADEMY,46,0,0,41,34
6117568,ALAMEDA,PUBLIC,61259,MONARCH ACADEMY,66,0,0,66,64
6002083,ALAMEDA,PUBLIC,61259,MONTCLAIR ELEM.,70,0,0,67,67
6001697,ALAMEDA,PUBLIC,61259,MUNCK (CARL B.) ELEM.,66,0,1,61,65
6001903,ALAMEDA,PUBLIC,61259,NEW HIGHLAND ELEM.,60,0,0,50,58
6117972,ALAMEDA,PUBLIC,61259,NORTH OAKLAND COMM. C,22,0,4,18,18
6002091,ALAMEDA,PUBLIC,61259,PARKER ELEM.,39,0,0,38,35
6002109,ALAMEDA,PUBLIC,61259,PERALTA YEAR AROUND,56,2,0,53,53
6002117,ALAMEDA,PUBLIC,61259,PIEDMONT AVE. ELEM.,75,0,1,41,61
6002125,ALAMEDA,PUBLIC,61259,PRESCOTT ELEM.,34,0,0,34,29
110239,ALAMEDA,PUBLIC,61259,REACH ACADEMY,33,0,0,33,31
6002141,ALAMEDA,PUBLIC,61259,REDWOOD HEIGHTS ELEM.,72,0,3,62,63
110262,ALAMEDA,PUBLIC,61259,RISE COMMUNITY,66,0,0,55,57
110254,ALAMEDA,PUBLIC,61259,SANKOFA ACADEMY,30,0,0,23,26
6002166,ALAMEDA,PUBLIC,61259,SANTA FE ELEM.,40,0,0,40,39
6002174,ALAMEDA,PUBLIC,61259,SEQUOIA ELEM.,72,0,2,63,65
6002182,ALAMEDA,PUBLIC,61259,SOBRANTE PARK ELEM.,41,0,0,41,39
6002190,ALAMEDA,PUBLIC,61259,STONEHURST ELEM.,60,0,0,60,60
100792,ALAMEDA,PUBLIC,61259,THINK COLLEGE NOW,48,0,0,47,46
6002216,ALAMEDA,PUBLIC,61259,THORNHILL ELEM.,67,0,1,62,63
6002273,ALAMEDA,PUBLIC,61259,WOODLAND ELEM. (ACORN,46,0,1,45,39
109983,ALAMEDA,PUBLIC,61259,WORLD ACADEMY,107,0,0,107,107
6002281,ALAMEDA,PUBLIC,61275,BEACH (E.W.) ELEM.,55,0,2,53,47
6002299,ALAMEDA,PUBLIC,61275,HAVENS (F.C.) ELEM.,66,0,4,62,59
6002307,ALAMEDA,PUBLIC,61275,WILDWOOD AVE. ELEM.,40,0,4,36,32
6002372,ALAMEDA,PUBLIC,61291,GARFIELD ELEM.,65,0,0,65,62
6002398,ALAMEDA,PUBLIC,61291,JEFFERSON ELEM.,115,0,0,115,115
6002414,ALAMEDA,PUBLIC,61291,MADISON ELEM.,60,0,0,60,58
6002422,ALAMEDA,PUBLIC,61291,MC KINLEY ELEM.,83,0,0,83,83
6002430,ALAMEDA,PUBLIC,61291,MONROE ELEM.,61,0,0,61,61
6002448,ALAMEDA,PUBLIC,61291,ROOSEVELT ELEM.,82,0,1,81,81
